x,y,goal
2.946668,-8.509551,Blog
16.204334,34.473503,Lose weight
0.68541414,-3.2502518,Write a book
16.353884,2.9707453,Stop procrastinating
15.655849,-36.910378,Fall in love
12.893544,-16.611835,Be happy
2.1385255,-9.497031,Journal
-16.483028,-0.27027234,Get a tattoo
-23.57937,22.347641,Go on a road trip with no predetermined destination
17.320303,-34.324596,Get married
-24.621761,19.57588,Travel the world
18.640762,25.231024,Drink more water
-28.771418,27.47314,See the Northern Lights
-11.099314,13.176472,Learn Spanish
-16.01785,-30.913116,Save money
5.33626,4.54313,Take more pictures
15.479508,-37.9978,Kiss in the rain
-8.195546,-30.436886,Buy a house
19.110506,-19.829428,Make new friends
-6.85239,8.930529,Learn how to play the guitar
-8.401545,39.92284,Run a marathon
-10.375116,11.020228,Learn French
-17.230274,-5.4491086,Get a job
-23.829292,-34.217228,Get out of debt
2.7167823,4.200621,Read more books
22.338106,-4.968359,Be more confident
-0.8251503,-3.8407736,Write a novel
12.898425,-5.6419864,Be successful
-21.896046,29.290354,Skydive
15.383561,29.985313,Eat healthier
5.1826777,33.827583,Exercise regularly
-9.487711,13.889282,Learn Japanese
8.351295,35.286476,Get in shape
8.825152,20.81985,Learn to cook
-24.728487,-19.204355,Start my own business
27.305548,22.479326,Quit smoking
-23.528402,19.349934,Travel
-29.34874,20.831865,Visit all 50 states
-22.295725,-29.72145,Get my finances in order
-22.997389,-18.82678,Start a company
8.398059,-1.223113,Get more organized
-6.9568014,-31.433249,Buy a new home
4.8563046,31.658962,Exercise more 
9.523787,-21.0375,Spend more time with friends and family
-23.187983,18.525105,Travel more
-24.215944,-20.158003,Start a business
-8.330254,7.9397707,Learn to play the flute
-11.561373,-26.92848,Buy a new car
15.648162,33.71234,Lose weight
0.4754292,-21.95032,Volunteer more often
6.998769,-10.805841,Disconnect from technology
-5.5810184,-32.84336,Remodel my home
29.408781,20.312372,Quit my vices
-4.97667,-32.18333,Redecorate my home
9.578529,22.867323,Cook more frequently
8.523069,-1.1442804,Organize closet
5.4960914,-32.336216,Get a dog
-9.721895,-14.233934,Be famous
-5.9964066,3.5277846,Master a difficult skill
-6.4284515,-7.47778,Become a thought leader
-21.318281,-13.779532,Get promoted to an executive role
-17.096523,-16.268839,Become a millionaire
-21.704594,20.380297,Go on a trip around the world
-26.438599,17.417564,Travel to my dream country
-24.036413,-27.798113,Double my personal income
-0.65467334,-5.3571234,Publish a novel
-22.526527,23.49732,Take a motorcycle trip
1.711038,-21.524422,Volunteer at a hospital
-8.925282,39.483624,Run in a marathon
8.226224,40.133804,Get six-pack abs
-24.5755,-33.667442,Achieve zero debt
-20.540123,-22.309298,Invest in the stock market
-11.957881,-26.545732,Buy a Ferrari
-26.532894,21.734144,See one of the Seven Wonders of the World
-17.469301,-34.561005,Plan for my retirement
-22.807858,2.3994813,Graduate from college
-10.399497,11.192474,Learn to fluently speak French
26.852562,8.135314,Meditate daily
-1.5645608,-24.90657,Donate to a charity annually
18.42551,-30.46007,Have a long-term relationship
-14.269165,35.360332,Climb a mountain
-16.226603,27.060452,Learn how to surf
-7.0549364,7.347945,Master a musical instrument
-13.479308,34.643326,Learn how to rock climb
-27.491781,15.702796,Live in a foreign country
18.164482,25.131466,Drink enough water everyday
19.687357,31.759481,Give up junk food for a year
-10.46754,3.6298478,Paint a picture
-10.726548,1.1828641,Craft something using pottery skills
-2.380792,18.176031,Master ballroom dancing
4.100672,-4.9113708,Compose a song
13.040392,34.980053,Maintain my ideal body weight
-17.467428,-9.847287,Get paid doing what I'm passionate about
14.631472,-31.438898,Find my life partner
14.0827875,28.451488,Actually eat healthy meals
10.785987,27.362062,Bulk
9.003454,-27.44134,Regularly call my parents
-22.686592,-26.34166,Create multiple income sources
2.6933796,-11.46459,Keep a life journal
1.919325,30.523779,Build muscle
-9.006146,-31.411467,Buy my first house
-7.5424566,-33.36953,Build my dream house
-20.470785,29.25998,Go skydiving
-19.218433,29.10596,Go hang gliding
-20.056648,30.774527,Ride in a hot air balloon
-18.390114,26.346853,Snorkel in the ocean
-15.353578,35.309326,Climb on a glacier
12.821018,-33.473732,Find my soulmate
-17.116161,-15.47764,Become rich
-21.283901,14.930144,Go to the Olympics
-35.072323,6.727307,Get a hole-in-one
-35.16457,6.8573074,Golf 18 holes under par
-28.566822,-24.927883,Create a portfolio
-6.326643,42.67187,Run a six-minute mile
-4.3562274,-31.653639,Declutter my home
-5.8081098,-18.419374,Appear on a podcast
1.8845011,6.513639,Read two books every month
-21.079348,-33.995094,Leave a financial inheritance
-29.158958,16.353224,Trace my ancestry and visit their country of origin
21.937561,34.919598,Try a vegan diet for a month
-6.7173095,-15.704815,See my favorite musician in concert as often as I can
9.622007,-23.604523,Create a new family tradition
-0.40518287,-15.503777,Maintain a healthy work-life balance
-26.071283,-19.966995,Start an online business
19.627926,-32.427673,Celebrate my relationship anniversaries
-7.9881034,-14.76076,Meet an athlete or celebrity I admire
8.147897,-16.111282,Practice gratitude everyday
-25.145018,-20.8474,Start a small business
-15.161389,21.10148,See the ball drop in person on New Year’s Eve when it’s safe to do so
4.543981,-31.744724,Adopt and care for my dream pet
24.21195,25.938631,Give up drinking soda
-28.849358,27.564587,Witness the Northern Lights
-27.478006,26.130033,Watch a volcano erupt (from a safe distance!)
-18.094599,21.067205,Go to Mardi Gras
-24.727985,-31.986843,Develop a good credit score
-4.673518,14.269685,Learn self-defense
20.1308,25.13253,See my doctor and dentist regularly
13.891298,-11.585621,Always say “yes” to trying new positive things
8.626579,30.275444,Learn yoga
-0.9314909,2.1797526,Expand vocabulary
-8.3785515,24.232367,Participate in a recreational sports league
3.880299,15.19327,Grow a thriving garden
-19.926374,23.009565,Go on a electronics-free camping trip
-2.5454445,-3.8579838,Write a movie script or TV episode
-8.561651,-11.371014,Learn how to sing
-28.019121,-20.89219,Make my own website
-21.377972,-19.980595,Become a venture capitalist
0.46968207,-26.830635,Sponsor a child in need
-23.0706,21.404497,Go on a cross-country road trip
-25.01587,-37.39414,Pay off my student loans sooner than later
-3.3100138,10.330798,Learn how to code
-9.665921,3.571951,Improve my drawing skills
8.042002,8.354807,Give up TV for a week
-2.7257342,29.264067,Spend a full day at the spa
-20.480446,21.714834,Go on a solo vacation
16.179226,-20.326332,Throw friends a surprise party
-1.1185997,22.438719,Learn how to knit or sew
10.613733,34.06585,Become more fit and healthy
-3.2230935,-13.096998,Find purpose in life
12.38111,-5.38019,Acquire more skills for success
14.25164,-25.738792,Improve personal relationships
9.685861,-8.430973,Be more committed
-3.9089546,0.030496148,Do more challenging things
21.571943,-7.5022006,Develop a higher level of self-esteem and positivity
22.338066,-4.9692373,Be more confident
18.644976,30.64506,Stop eating unhealthy
